iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
278	237	264	237	340	237	264	340
279	237	264	237	340	237	264	340
280	239	266	239	340	239	266	340
281	237	264	237	340	237	264	340
282	237	264	237	340	237	264	340
283	238	265	238	340	238	265	340
284	240	267	240	340	240	267	340
285	239	266	239	340	239	266	340
286	239	266	239	340	239	266	340
287	239	266	239	340	239	266	340
288	239	266	239	340	239	266	340
289	239	266	239	340	239	266	340
290	239	266	239	340	239	266	340
291	239	266	239	340	239	266	340
292	239	266	239	340	239	266	340
293	241	268	241	340	241	268	340
294	240	267	240	340	240	267	340
295	240	267	240	340	240	267	340
296	240	267	240	340	240	267	340
297	240	267	240	340	240	267	340
298	241	268	241	340	241	268	340
299	241	268	241	340	241	268	340
300	241	268	241	340	241	268	340
301	241	268	241	340	241	268	340
302	242	269	242	340	242	269	340
303	242	269	242	340	242	269	340
304	242	269	242	340	242	269	340
305	242	269	242	340	242	269	340
306	242	269	242	340	242	269	340
307	242	269	242	340	242	269	340
308	242	269	242	340	242	269	340
309	242	269	242	340	242	269	340
310	242	269	242	340	242	269	340
311	242	269	242	340	242	269	340
312	242	269	242	340	242	269	340
313	242	269	242	340	242	269	340
314	242	269	242	340	242	269	340
315	243	270	243	340	243	270	340
316	243	270	243	340	243	270	340
317	244	271	244	340	244	271	340
318	244	271	244	340	244	271	340
319	245	272	245	340	245	272	340
320	244	271	244	340	244	271	340
321	245	272	245	340	245	272	340
322	245	272	245	340	245	272	340
323	246	273	246	340	246	273	340
324	245	272	245	340	245	272	340
325	246	273	246	340	246	273	340
326	246	273	246	340	246	273	340
327	246	273	246	340	246	273	340
328	245	272	245	340	245	272	340
329	245	272	245	340	245	272	340
330	245	272	245	340	245	272	340
331	245	272	245	340	245	272	340
332	246	273	246	340	246	273	340
333	246	273	246	340	246	273	340
334	246	273	246	340	246	273	340
335	246	273	246	340	246	273	340
336	245	272	245	340	245	272	340
337	248	275	248	340	248	275	340
338	247	274	247	340	247	274	340
339	247	274	247	340	247	274	340
340	247	274	247	340	247	274	340
341	248	275	248	340	248	275	340
342	248	275	248	340	248	275	340
343	248	275	248	340	248	275	340
344	248	275	248	340	248	275	340
345	248	275	248	340	248	275	340
346	248	275	248	340	248	275	340
347	248	275	248	340	248	275	340
348	248	275	248	340	248	275	340
349	248	275	248	340	248	275	340
350	248	275	248	340	248	275	340
351	248	275	248	340	248	275	340
352	248	275	248	340	248	275	340
353	248	275	248	340	248	275	340
354	248	275	248	340	248	275	340
355	248	275	248	340	248	275	340
356	248	275	248	340	248	275	340
357	249	276	249	340	249	276	340
358	248	275	248	340	248	275	340
359	248	275	248	340	248	275	340
360	248	275	248	340	248	275	340
361	248	275	248	340	248	275	340
362	248	275	248	340	248	275	340
363	248	275	248	340	248	275	340
364	248	275	248	340	248	275	340
365	250	277	250	340	250	277	340
366	250	277	250	340	250	277	340
367	250	277	250	340	250	277	340
368	250	277	250	340	250	277	340
369	250	277	250	340	250	277	340
370	250	277	250	340	250	277	340
371	250	277	250	340	250	277	340
372	250	277	250	340	250	277	340
373	250	277	250	340	250	277	340
374	251	278	251	340	251	278	340
375	251	278	251	340	251	278	340
376	251	278	251	340	251	278	340
377	251	278	251	340	251	278	340
378	251	278	251	340	251	278	340
379	251	278	251	340	251	278	340
380	251	278	251	340	251	278	340
381	251	278	251	340	251	278	340
382	251	278	251	340	251	278	340
383	251	278	251	340	251	278	340
384	251	278	251	340	251	278	340
385	251	278	251	340	251	278	340
386	250	277	250	340	250	277	340
387	250	277	250	340	250	277	340
388	251	278	251	340	251	278	340
389	251	278	251	340	251	278	340
390	251	278	251	340	251	278	340
391	251	278	251	340	251	278	340
392	251	278	251	340	251	278	340
393	251	278	251	340	251	278	340
394	251	278	251	340	251	278	340
395	251	278	251	340	251	278	340
396	251	278	251	340	251	278	340
397	251	278	251	340	251	278	340
398	251	278	251	340	251	278	340
399	251	278	251	340	251	278	340
400	251	278	251	340	251	278	340
401	251	278	251	340	251	278	340
402	251	278	251	340	251	278	340
403	251	278	251	340	251	278	340
404	251	278	251	340	251	278	340
405	251	278	251	340	251	278	340
406	251	278	251	340	251	278	340
407	251	278	251	340	251	278	340
408	251	278	251	340	251	278	340
409	251	278	251	340	251	278	340
410	251	278	251	340	251	278	340
411	251	278	251	340	251	278	340
412	251	278	251	340	251	278	340
413	251	278	251	340	251	278	340
414	250	277	250	340	250	277	340
415	250	277	250	340	250	277	340
416	250	277	250	340	250	277	340
417	251	278	251	340	251	278	340
418	251	278	251	340	251	278	340
419	251	278	251	340	251	278	340
420	250	277	250	340	250	277	340
421	250	277	250	340	250	277	340
422	250	277	250	340	250	277	340
423	250	277	250	340	250	277	340
424	250	277	250	340	250	277	340
425	248	275	248	340	248	275	340
426	248	275	248	340	248	275	340
427	250	277	250	340	250	277	340
428	251	278	251	340	251	278	340
429	251	278	251	340	251	278	340
430	251	278	251	340	251	278	340
431	251	278	251	340	251	278	340
432	251	278	251	340	251	278	340
433	252	279	252	340	252	279	340
434	252	279	252	340	252	279	340
435	252	279	252	340	252	279	340
436	252	279	252	340	252	279	340
437	253	280	253	340	253	280	340
438	253	280	253	340	253	280	340
439	252	279	252	340	252	279	340
440	251	278	251	340	251	278	340
441	252	279	252	340	252	279	340
442	252	279	252	340	252	279	340
443	253	280	253	340	253	280	340
444	253	280	253	340	253	280	340
445	252	279	252	340	252	279	340
446	253	280	253	340	253	280	340
447	253	280	253	340	253	280	340
448	253	280	253	340	253	280	340
449	253	280	253	340	253	280	340
450	253	280	253	340	253	280	340
451	253	280	253	340	253	280	340
452	253	280	253	340	253	280	340
453	253	280	253	340	253	280	340
454	253	280	253	340	253	280	340
455	253	280	253	340	253	280	340
456	253	280	253	340	253	280	340
457	253	280	253	340	253	280	340
458	253	280	253	340	253	280	340
459	253	280	253	340	253	280	340
460	253	280	253	340	253	280	340
461	253	280	253	340	253	280	340
462	253	280	253	340	253	280	340
463	253	280	253	340	253	280	340
464	253	280	253	340	253	280	340
465	253	280	253	340	253	280	340
466	253	280	253	340	253	280	340
467	253	280	253	340	253	280	340
468	252	279	252	340	252	279	340
469	252	279	252	340	252	279	340
470	253	280	253	340	253	280	340
471	253	280	253	340	253	280	340
472	253	280	253	340	253	280	340
473	254	281	254	340	254	281	340
474	254	281	254	340	254	281	340
475	254	281	254	340	254	281	340
476	254	281	254	340	254	281	340
477	254	281	254	340	254	281	340
478	254	281	254	340	254	281	340
479	254	281	254	340	254	281	340
480	254	281	254	340	254	281	340
481	254	281	254	340	254	281	340
482	254	281	254	340	254	281	340
483	254	281	254	340	254	281	340
484	255	282	255	340	255	282	340
485	255	282	255	340	255	282	340
486	254	281	254	340	254	281	340
487	254	281	254	340	254	281	340
488	254	281	254	340	254	281	340
489	254	281	254	340	254	281	340
490	254	281	254	340	254	281	340
491	254	281	254	340	254	281	340
492	254	281	254	340	254	281	340
493	254	281	254	340	254	281	340
494	254	281	254	340	254	281	340
495	254	281	254	340	254	281	340
496	254	281	254	340	254	281	340
497	254	281	254	340	254	281	340
498	254	281	254	340	254	281	340
499	254	281	254	340	254	281	340
500	254	281	254	340	254	281	340
501	254	281	254	340	254	281	340
502	254	281	254	340	254	281	340
503	254	281	254	340	254	281	340
504	254	281	254	340	254	281	340
505	255	282	255	340	255	282	340
506	255	282	255	340	255	282	340
507	255	282	255	340	255	282	340
508	255	282	255	340	255	282	340
509	255	282	255	340	255	282	340
510	255	282	255	340	255	282	340
511	255	282	255	340	255	282	340
512	255	282	255	340	255	282	340
513	255	282	255	340	255	282	340
514	255	282	255	340	255	282	340
515	255	282	255	340	255	282	340
516	255	282	255	340	255	282	340
517	255	282	255	340	255	282	340
518	255	282	255	340	255	282	340
519	255	282	255	340	255	282	340
520	256	283	256	340	256	283	340
521	256	283	256	340	256	283	340
522	256	283	256	340	256	283	340
523	256	284	256	340	256	284	340
524	256	284	256	340	256	284	340
525	256	284	256	340	256	284	340
526	256	283	256	340	256	283	340
527	256	283	256	340	256	283	340
528	256	283	256	340	256	283	340
529	256	283	256	340	256	283	340
530	256	283	256	340	256	283	340
531	256	283	256	340	256	283	340
532	256	283	256	340	256	283	340
533	256	283	256	340	256	283	340
534	256	283	256	340	256	283	340
535	256	283	256	340	256	283	340
536	256	283	256	340	256	283	340
537	257	284	257	340	257	284	340
538	257	285	257	340	257	285	340
539	257	285	257	340	257	285	340
540	256	284	256	340	256	284	340
541	256	284	256	340	256	284	340
542	257	285	257	340	257	285	340
543	257	285	257	340	257	285	340
544	258	286	258	340	258	286	340
545	258	286	258	340	258	286	340
546	258	286	258	340	258	286	340
547	257	285	257	340	257	285	340
548	257	285	257	340	257	285	340
549	257	284	257	340	257	284	340
550	257	284	257	340	257	284	340
551	257	284	257	340	257	284	340
552	258	285	258	340	258	285	340
553	258	285	258	340	258	285	340
554	258	285	258	340	258	285	340
555	258	285	258	340	258	285	340
556	257	285	257	340	257	285	340
557	258	285	258	340	258	285	340
558	258	285	258	340	258	285	340
559	257	284	257	340	257	284	340
560	258	285	258	340	258	285	340
561	259	286	259	340	259	286	340
562	259	286	259	340	259	286	340
563	259	286	259	340	259	286	340
564	259	286	259	340	259	286	340
565	259	286	259	340	259	286	340
566	259	286	259	340	259	286	340
567	259	286	259	340	259	286	340
568	259	286	259	340	259	286	340
569	258	285	258	340	258	285	340
570	258	285	258	340	258	285	340
571	259	286	259	340	259	286	340
572	259	286	259	340	259	286	340
573	258	285	258	340	258	285	340
574	259	286	259	340	259	286	340
575	258	285	258	340	258	285	340
576	259	286	259	340	259	286	340
577	258	285	258	340	258	285	340
578	259	286	259	340	259	286	340
579	258	285	258	340	258	285	340
580	258	285	258	340	258	285	340
581	258	285	258	340	258	285	340
582	258	285	258	340	258	285	340
583	258	285	258	340	258	285	340
584	258	285	258	340	258	285	340
585	258	285	258	340	258	285	340
586	258	285	258	340	258	285	340
587	258	285	258	340	258	285	340
588	258	286	258	340	258	286	340
589	259	287	259	340	259	287	340
590	259	287	259	340	259	287	340
591	259	287	259	340	259	287	340
592	259	287	259	340	259	287	340
593	259	287	259	340	259	287	340
594	258	286	258	340	258	286	340
595	260	287	260	340	260	287	340
596	260	287	260	340	260	287	340
597	261	288	261	340	261	288	340
